1592,9,9,Nut Allergy,7,1
1601,1,1,Vegetarian,1,1
1639,1,1,Vegetarian,1,1
1639,2,2,Halal,3,1
1652,2,2,Halal,3,1
1654,9,9,Nut Allergy,7,1
1672,9,9,Nut Allergy,7,1
1673,4,4,Diabetic,4,1
1675,1,1,Vegetarian,1,1
1675,2,2,Halal,3,1
1675,3,3,Can eat Fish,8,1
1687,4,4,Diabetic,4,1
1701,6,6,Other Dietary Requirement,10,1
1703,4,4,Diabetic,4,1
1723,6,6,Other Dietary Requirement,10,1
1723,9,9,Nut Allergy,7,1
1742,2,2,Halal,3,1
1746,4,4,Diabetic,4,1
1750,2,2,Halal,3,1
1750,3,3,Can eat Fish,8,1
1755,2,2,Halal,3,1
1755,3,3,Can eat Fish,8,1
1767,8,8,No Pork,9,1
1768,1,1,Vegetarian,1,1
1773,8,8,No Pork,9,1
1783,9,9,Nut Allergy,7,1
1788,6,6,Other Dietary Requirement,10,1
1795,1,1,Vegetarian,1,1
1795,2,2,Halal,3,1
1795,3,3,Can eat Fish,8,1
1831,8,8,No Pork,9,1
1834,5,5,Gluten Intolerant/coeliac,5,1
1834,9,9,Nut Allergy,7,1
1844,8,8,No Pork,9,1
1854,9,9,Nut Allergy,7,1
1859,4,4,Diabetic,4,1
1863,8,8,No Pork,9,1
1866,8,8,No Pork,9,1
1870,2,2,Halal,3,1
1870,3,3,Can eat Fish,8,1
1871,2,2,Halal,3,1
1871,3,3,Can eat Fish,8,1
1882,1,1,Vegetarian,1,1
1884,2,2,Halal,3,1
1884,3,3,Can eat Fish,8,1
1928,8,8,No Pork,9,1
1938,4,4,Diabetic,4,1
1941,8,8,No Pork,9,1
1959,1,1,Vegetarian,1,1
1966,1,1,Vegetarian,1,1
1978,2,2,Halal,3,1
1978,3,3,Can eat Fish,8,1
1980,1,1,Vegetarian,1,1
1980,2,2,Halal,3,1
1980,3,3,Can eat Fish,8,1
1985,1,1,Vegetarian,1,1
1985,2,2,Halal,3,1
1985,3,3,Can eat Fish,8,1
1989,1,1,Vegetarian,1,1
1995,8,8,No Pork,9,1
1998,5,5,Gluten Intolerant/coeliac,5,1
1998,6,6,Other Dietary Requirement,10,1
2004,1,1,Vegetarian,1,1
